a1,a2,a3,g1,g2,g3,LABEL
6420,-14960,-3400,-334,-349,311,HEALTHY
6408,-15044,-3452,-316,-290,356,HEALTHY
6300,-15140,-3532,-338,-315,329,HEALTHY
6304,-15100,-3640,-384,-305,287,HEALTHY
6236,-14968,-3692,-415,-225,289,HEALTHY
6304,-14944,-3680,-370,-192,282,HEALTHY
6176,-15024,-3364,-376,-200,318,HEALTHY
6408,-15136,-3692,-407,-220,295,HEALTHY
6412,-15052,-3700,-326,-239,204,HEALTHY
6284,-15008,-3584,-323,-251,162,HEALTHY
6308,-15228,-3476,-364,-180,163,HEALTHY
6284,-15068,-3416,-472,-122,224,HEALTHY
6152,-15176,-3376,-479,-142,244,HEALTHY
6168,-15072,-3624,-463,-155,160,HEALTHY
6340,-14964,-3640,-508,-204,122,HEALTHY
6292,-15020,-3660,-493,-154,177,HEALTHY
6204,-14980,-3688,-512,-193,223,HEALTHY
6244,-14964,-3544,-554,-278,225,HEALTHY
6372,-14948,-3796,-536,-309,217,HEALTHY
6576,-14920,-3620,-490,-326,329,HEALTHY
6616,-14888,-3500,-602,-126,416,HEALTHY
6640,-14896,-3552,-746,-173,493,HEALTHY
6532,-14988,-3520,-755,-188,528,HEALTHY
6704,-15052,-3560,-689,-188,512,HEALTHY
6680,-15048,-3560,-764,-231,472,HEALTHY
6552,-15052,-3504,-957,-72,679,HEALTHY
6296,-15136,-3328,-936,-44,739,HEALTHY
6408,-14872,-3552,-1051,-39,713,HEALTHY
6244,-14996,-3736,-987,-102,671,HEALTHY
6060,-14860,-3692,-1012,-90,575,HEALTHY
5952,-15156,-3836,-940,-83,578,HEALTHY
5888,-15084,-3568,-1047,-59,659,HEALTHY
5768,-15152,-3824,-955,-176,622,HEALTHY
5960,-15116,-3800,-846,-355,482,HEALTHY
6060,-15068,-3900,-799,-366,413,HEALTHY
6124,-14904,-3892,-751,-363,425,HEALTHY
6232,-14844,-3916,-772,-216,504,HEALTHY
6220,-15052,-3988,-739,-148,554,HEALTHY
6192,-14984,-3884,-664,-320,497,HEALTHY
